dialogue_id	turn_id	speaker	utterance	goal_domains
458	0	USER	那覇の本庁地区で泊まれるところを探してほしいです。	general,hotel,taxi
458	1	SYSTEM	かしこまりました。ご希望の条件はございますか。	general,hotel,taxi
458	2	USER	ビジネスホテルがいいです。あと、Wi-Fiが無料で使えるところでお願いしたいです。	general,hotel,taxi
458	3	SYSTEM	ではティサージホテル那覇はいかがでしょうか。	general,hotel,taxi
458	4	USER	そこにしたいと思います。当日タクシーを使いたいので、タクシー会社も探してもらえますか？	general,hotel,taxi
458	5	SYSTEM	かしこまりました。沖縄交通がございます。	general,hotel,taxi
458	6	USER	キャッシュレスで支払いができるところがいいのですが、そちらは対応していますか？	general,hotel,taxi
458	7	SYSTEM	はい。キャッシュレスにも対応しております。	general,hotel,taxi
458	8	USER	わかりました。ジャンボタクシーには対応していますか？	general,hotel,taxi
458	9	SYSTEM	はい。ジャンボタクシーにも対応しております。	general,hotel,taxi
458	10	USER	なるほど。あと、電話番号も教えてください。	general,hotel,taxi
458	11	SYSTEM	電話番号は0120170978でございます。ご予約なさいますか。	general,hotel,taxi
458	12	USER	はい、お願いします。	general,hotel,taxi
458	13	SYSTEM	では出発地と目的地を教えていただけますか。	general,hotel,taxi
458	14	USER	出発地は海のちんぼらぁで、目的地はティサージホテル那覇です。10/26の14:40にお願いしたいのですが。	general,hotel,taxi
458	15	SYSTEM	かしこまりました。予約が完了いたしました。予約番号は633でございます。	general,hotel,taxi
458	16	USER	わかりました。ありがとうございました。	general,hotel,taxi
